Name,Logging,Property,Easting,Northing,Lat,Long,Cam nr,series,,picture,species name,Species,Type,Nr,Total,Year,Month ,Day,Hour Exact,Comment,camera brand,Location,Logging
01B,Yes,Yalbac,286795,1939898,17.53528000,-89.00844200,1,B,,3244,Ocellated Turkey,Meleagris ocellata,Bird,3,,2020,4,27,8.10,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,34,Ocellated Turkey,Meleagris ocellata,Bird,3,,2020,6,15,10.01,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,112,Great Curassow,Crax rubra,Bird,3,,2020,9,26,16.59,,,,
02C,Yes,Yalbac,285590,1938106,17.51897900,-89.01961000,2,C,,193,Great Curassow,Crax rubra,Bird,3,,2020,5,20,6.58,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,408,Great Curassow,Crax rubra,Bird,3,,2020,7,17,13.25,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,181,Great Curassow,Crax rubra,Bird,3,,2020,7,29,6.01,,,,
02G,Yes,Yalbac,284926,1938068,17.518568,-89.02586,2,G,,185,Great Curassow,Crax rubra,Bird,3,,2020,9,24,6.10,,,,
03B,Yes,Yalbac,284474,1939228,17.52900600,-89.03022600,3,B,,25,Great Curassow,Crax rubra,Bird,3,,2020,3,15,6.01,,,,
03D,Yes,Yalbac,284201,1939112,17.52793000,-89.03278700,3,D,,15,Ocellated Turkey,Meleagris ocellata,Bird,3,,2020,6,15,9.33,,,,
03E,Yes,Yalbac,284206,1939118,17.527981,-89.032738,3,E,,211,Great Curassow,Crax rubra,Bird,3,,2020,8,12,6.48,,,,
03G,Yes,Yalbac,284578,1939508,17.531539,-89.029275,3,G,,178,Ocellated Turkey,Meleagris ocellata,Bird,3,,2020,10,1,9.32,,,,
06C,Yes,Yalbac,286216,1936445,17.50402900,-89.01355500,6,C,,354,Ocellated Turkey,Meleagris ocellata,Bird,3,,2020,5,17,5.43,,,,
06C,Yes,Yalbac,286216,1936445,17.50402900,-89.01355500,6,C,,364,Ocellated Turkey,Meleagris ocellata,Bird,3,,2020,5,17,17.46,,,,
06C,Yes,Yalbac,286216,1936445,17.50402900,-89.01355500,6,C,,544,Ocellated Turkey,Meleagris ocellata,Bird,3,,2020,5,21,17.13,,,,
02H,Yes,Yalbac,284930,1938067,17.518558,-89.02582,2,H,,61,White-nosed Coati,Nasua narica,Mammal,3,,2020,9,17,17.37,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,40,Great Curassow,Crax rubra,Bird,2,,2020,6,15,13.28,with chick,,,
03E,Yes,Yalbac,284206,1939118,17.527981,-89.032738,3,E,,34,Great Curassow,Crax rubra,Bird,2,,2020,7,21,16.39,with chick,,,
03E,Yes,Yalbac,284206,1939118,17.527981,-89.032738,3,E,,151,Great Curassow,Crax rubra,Bird,2,,2020,8,5,5.35,with chick,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,52,Blue Ground-Dove,Claravis pretiosa,Bird,2,,2020,8,30,16.38,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,55,Blue Ground-Dove,Claravis pretiosa,Bird,2,,2020,8,30,16.38,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,791,Great Curassow,Crax rubra,Bird,2,,2020,9,8,12.50,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,815,Great Curassow,Crax rubra,Bird,2,,2020,9,9,5.13,,,,
04B,Yes,Laguna Seca,287639,1949425,17.62142200,-89.00144600,4,B,,13,Great Curassow,Crax rubra,Bird,2,,2020,3,15,7.33,,,,
04B,Yes,Laguna Seca,287639,1949425,17.62142200,-89.00144600,4,B,,109,Great Curassow,Crax rubra,Bird,2,,2020,3,31,6.08,,,,
04B,Yes,Laguna Seca,287639,1949425,17.62142200,-89.00144600,4,B,,185,Great Curassow,Crax rubra,Bird,2,,2020,4,11,16.24,,,,
04B,Yes,Laguna Seca,287639,1949425,17.62142200,-89.00144600,4,B,,257,Great Curassow,Crax rubra,Bird,2,,2020,4,22,6.16,,,,
