Location,Cam nr,series,picture,species name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,Location,Logging
Yalbac 702A,702,A,400,Gray fox,1,2017,3,27,22.08,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,403,Gray fox,1,2017,3,28,4.26,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,412,Gray fox,1,2017,3,29,21.38,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,418,Gray fox,1,2017,3,31,1.57,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,424,Gray fox,1,2017,4,1,7.58,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,439,Gray fox,1,2017,4,2,5.55,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,463,Gray fox,1,2017,4,6,8.23,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,466,Gray fox,1,2017,4,8,9.59,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,481,Gray fox,1,2017,4,8,21.24,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,487,Gray fox,1,2017,4,9,12.04,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,490,Gray fox,1,2017,4,9,22.05,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,526,Gray fox,1,2017,4,13,8,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,538,Gray fox,1,2017,4,15,9.21,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,541,Gray fox,1,2017,4,15,11.08,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,544,Gray fox,1,2017,4,15,23.39,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,547,Gray fox,1,2017,4,16,1.25,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,553,Gray fox,1,2017,4,16,14.59,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,580,Gray fox,1,2017,4,19,11.1,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,634,Gray fox,1,2017,4,21,19.11,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,637,Gray fox,1,2017,4,22,4.04,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,640,Gray fox,1,2017,4,22,21.56,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,658,Gray fox,1,2017,4,25,3.15,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,136,Great Curassow,2,2017,2,10,7.14,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,139,Great Curassow,1,2017,2,10,10.25,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,190,Great Curassow,1,2017,2,16,7.34,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,103,Great Curassow,1,2017,3,3,7.29,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,121,Great Curassow,1,2017,3,5,15.59,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,130,Great Curassow,1,2017,3,6,17.11,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,139,Great Curassow,1,2017,3,7,7.55,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,142,Great Curassow,1,2017,3,7,9.02,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,184,Great Curassow,2,2017,3,9,10.51,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,214,Great Curassow,4,2017,3,10,14.36,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,226,Great Curassow,1,2017,3,12,18.05,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,250,Great Curassow,1,2017,3,15,12.4,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,269,Great Curassow,1,2017,3,16,13.42,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,298,Great Curassow,1,2017,3,19,6.23,,Moultrie,Laguna Seca,Yes
