Location,Cam nr,Series,Easting,Northing,Picture,Species,Nr,Year,Month,Day,Hour_exact,Hour_BERDS,Comment,Camera Brand,No_Sr,Easting,Northing,
Yalbac501f,501,F,,,182,Agouti,1,2015,11,1,8.28,8.5,,,501F,292314,1958107,
Yalbac506G,506,G,,,16,Agouti,1,2015,11,10,6.55,7,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,121,Agouti,1,2015,11,12,7.34,7.5,,Bushnell,506G,292534,1956194,
Yalbac505G,505,G,,,19,Agouti,1,2015,11,14,7.22,7.5,,Moultrie,505G,291021,1956145,
Yalbac506G,506,G,,,175,Agouti,1,2015,11,17,7.38,7.5,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,187,Agouti,1,2015,11,19,7.57,8,,Bushnell,506G,292534,1956194,
Yalbac505G,505,G,,,37,Agouti,1,2015,11,23,6.26,6.5,,Moultrie,505G,291021,1956145,
Yalbac505G,505,G,,,55,Agouti,1,2015,11,27,6.23,6.5,,Moultrie,505G,291021,1956145,
Yalbac506G,506,G,,,250,Agouti,1,2015,11,28,8.57,9,,Bushnell,506G,292534,1956194,
Yalbac507H,507,H,,,19,Agouti,1,2015,12,1,4.22,4.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac506G,506,G,,,280,Agouti,1,2015,12,2,12.38,12.5,,Bushnell,506G,292534,1956194,
Yalbac507H,507,H,,,34,Agouti,1,2015,12,2,4.21,4.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac506G,506,G,,,295,Agouti,1,2015,12,5,6.44,6.5,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,304,Agouti,1,2015,12,5,9.07,9,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,310,Agouti,1,2015,12,6,17.19,17.5,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,331,Agouti,1,2015,12,8,7.12,7,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,340,Agouti,1,2015,12,8,16.27,16.5,,Bushnell,506G,292534,1956194,
Yalbac505G,505,G,,,97,Agouti,1,2015,12,9,7.05,7,,Moultrie,505G,291021,1956145,
Yalbac506G,506,G,,,343,Agouti,1,2015,12,9,7.18,7.5,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,364,Agouti,1,2015,12,12,15.28,16,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,370,Agouti,1,2015,12,13,9.35,9.5,,Bushnell,506G,292534,1956194,
