Location,Cam nr,Series,Easting,Northing,Picture,Species,Nr,Year,Month,Day,Hour_exact,Hour_BERDS,Comment,Camera Brand,,,,
Yalbac409D,409,D,283208,1934953,40,Collared Peccary,5,2014,10,21,14.17,,,Moultrie,,,,
Yalbac405A,405,A,283423,1932759,52,Collared Peccary,5,2014,3,21,11.09,11,,Moultrie,,,,
Yalbac410A,410,A,282533,1934009,11,Collared Peccary,1,2014,3,21,10.27,10,,Moultrie,,,,
Yalbac406A,406,A,283348,1933228,38,Collared Peccary,3,2014,3,22,7.18,7,,Bushnell,,,,
Yalbac403A,403,A,291031,1926154,147,Collared Peccary,1,2014,3,24,9.16,9,,Bushnell,,,,
Yalbac406A,406,A,283348,1933228,113,Collared Peccary,2,2014,3,29,7.12,7,,Bushnell,,,,
Yalbac406A,406,A,283348,1933228,322,Collared Peccary,1,2014,4,17,6.49,6.49,,Bushnell,,,,
Yalbac412B,412,B,283420,1931719,211,Collared Peccary,1,2014,5,9,10.19,10,,HCO ScoutGuard,,,,
Yalbac406B,406,B,283558,1934171,576,Collared Peccary,2,2014,5,18,10.58,10.5,,Bushnell,,,,
Yalbac403B,403,B,291227,1926257,133,Collared Peccary,2,2014,5,21,5.59,5.5,,Bushnell,,,,
Yalbac403B,403,B,291227,1926257,152,Collared Peccary,2,2014,5,22,16.5,16.5,,Bushnell,,,,
Yalbac413C,413,C,302854,1927594,116,Collared Peccary,2,2014,5,31,14.58,14.5,,Bushnell,,,,
Yalbac403C,403,C,290976,1926510,117,Collared Peccary,2,2014,6,12,13.25,13,,Bushnell,,,,
Yalbac403C,403,C,290976,1926510,123,Collared Peccary,1,2014,6,12,14.47,14.5,,Bushnell,,,,
Yalbac410C,410,C,286612,1934360,253,Collared Peccary,1,2014,7,1,9.03,9,,Moultrie,,,,
Yalbac411C,411,C,283393,1933215,267,Collared Peccary,1,2014,7,13,14.01,14,,HCO ScoutGuard,,,,
Yalbac412C,412,C,282701,1934210,204,Collared Peccary,1,2014,7,16,10.37,10.5,,HCO ScoutGuard,,,,
