Location,Camera,Easting,Northing,Cam nr,series,picture,species name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,,Location,Logging,,
,804C,288918,1956756,804,c,21,Agouti,1,,4,27,6.16,,bushnell,804C,Yalbac,no,,
,804C,288918,1956756,804,c,33,Agouti,1,,4,29,7.10,,bushnell,804C,Yalbac,no,,
,804C,288918,1956756,804,c,101,Agouti,1,,5,11,7.29,,bushnell,804C,Yalbac,no,,
,804C,288918,1956756,804,c,129,Agouti,1,,5,21,5.40,,bushnell,804C,Yalbac,no,,
,810C,286074,1935990,810,c,238,Agouti,1,,5,7,16.16,,bushnell,810C,Laguna Seca,no,,
,803D,293723,1956073,803,d,101,Agouti,1,,5,25,5.28,,bushnell,803D,Yalbac,no,,
,803D,293723,1956073,803,d,148,Agouti,1,,5,26,5.48,,bushnell,803D,Yalbac,no,,
,803D,293723,1956073,803,d,172,Agouti,1,,5,26,8.30,,bushnell,803D,Yalbac,no,,
,810D,285371,1935931,810,d,196,Agouti,2,,6,9,13.05,,bushnell,810D,Laguna Seca,no,,
,807D,289277,1956284,807,d,341,Agouti,1,,6,17,12.10,,bushnell,807D,Yalbac,no,,
,803D,293723,1956073,803,d,661,Agouti,1,,6,8,5.39,,bushnell,803D,Yalbac,no,,
,807D,289277,1956284,807,d,969,Agouti,1,,6,9,8.13,,bushnell,807D,Yalbac,no,,
,812E,287809,1935980,812,e,88,Agouti,2,,9,21,8.42,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,118,Agouti,1,,9,28,7.33,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,121,Agouti,1,,9,28,9.52,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,124,Agouti,1,,9,29,7.18,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,217,Agouti,1,,10,16,7.15,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,271,Agouti,1,,7,19,8.43,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,340,Agouti,2,,7,23,6.29,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,559,Agouti,1,,8,6,7.40,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,565,Agouti,1,,8,7,5.42,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,742,Agouti,1,,9,3,13.47,,bushnell,812E,Laguna Seca,no,,
,801E,292709,1955722,801,e,5272,Agouti,1,2018,8,17,5.27,,Moultrie,801E,Yalbac,no,,
,810F,285385,1935920,810,f,52,Agouti,1,,9,15,16.55,,bushnell,810F,Laguna Seca,no,,
,810F,285385,1935920,810,f,64,Agouti,1,,9,17,9.57,,bushnell,810F,Laguna Seca,no,,
,809G,286007,1941916,809,g,34,Agouti,1,,11,21,17.01,,bushnell,809G,Laguna Seca,no,,
,809G,286007,1941916,809,g,40,Agouti,1,,11,25,18.52,,bushnell,809G,Laguna Seca,no,,
,814G,287795,1943100,814,g,232,Agouti,1,,12,14,7.24,,bushnell,814G,Laguna Seca,no,,
