Name,mean_ARVI,sd_ARVI,mean_NDVI,sd_NDVI,mean_PRI,sd_PRI,mean_RGRI,sd_RGRI,mean_SIPI,sd_SIPI,mean_SR,sd_SR,mean_ARVI100,sd_ARVI100,mean_NDVI100,sd_NDVI100,mean_PRI100,sd_PRI100,mean_RGRI100,sd_RGRI100,mean_SIPI100,sd_SIPI100,mean_SR100,sd_SR100
405C,0.919457059,0.009642363,0.92480184,0.003813623,0.033065986,0.022933721,0.921091738,0.033473988,1.003037013,0.004387487,25.66782883,1.414448348,0.91851956494,0.01167545951,0.92516502227,0.00453890220,0.03009610014,0.02511679113,0.91913472402,0.03522874809,1.00378360709,0.00513936585,25.82737282160,1.68920665101
405C2,0.917201555,0.010736905,0.925314279,0.004077481,0.024433174,0.021961574,0.913892921,0.034865282,1.004606549,0.004834691,25.86153172,1.518812919,0.91740463668,0.01133748242,0.92493369739,0.00450257800,0.02346631379,0.02138955752,0.91347707625,0.03271621054,1.00428232845,0.00500097326,25.74103658630,1.64123086627
405D,0.917201555,0.010736905,0.925314279,0.004077481,0.024433174,0.021961574,0.913892921,0.034865282,1.004606549,0.004834691,25.86153172,1.518812919,0.91740463668,0.01133748242,0.92493369739,0.00450257800,0.02346631379,0.02138955752,0.91347707625,0.03271621054,1.00428232845,0.00500097326,25.74103658630,1.64123086627
405E,0.924639563,0.012745187,0.925971288,0.006029813,0.033513046,0.027385479,0.908505112,0.042342732,1.000786581,0.005829438,26.19710647,2.241228057,0.92054085813,0.01181680111,0.92541007179,0.00465858455,0.02889377804,0.02225428561,0.91406110037,0.03467030071,1.00277977626,0.00517281379,25.92177168870,1.74690716193
405F,0.910333145,0.007324284,0.920032026,0.002824811,0.01607606,0.016693414,0.913007108,0.021739262,1.005533076,0.003623844,24.04146021,0.891302361,0.91447179786,0.01018343563,0.92197593097,0.00433587093,0.02283712032,0.02022653670,0.91595707596,0.02966978241,1.00428080539,0.00439958091,24.71330316520,1.44917365329
406A,0.91775683,0.011044315,0.924551929,0.003911283,0.020454409,0.018165324,0.901584545,0.035762541,1.003868744,0.00495347,25.58298075,1.446348616,0.91735039219,0.01160378349,0.92440398395,0.00452510184,0.02383910853,0.02180515183,0.91697745106,0.03330781890,1.00401883109,0.00508177061,25.55516614640,1.65799378561
406B,0.922871165,0.014039224,0.926829659,0.006362728,0.033022846,0.02143373,0.917725304,0.037825053,1.002276064,0.005558667,26.55404555,2.558035757,0.92034654917,0.01236413793,0.92571730471,0.00496009905,0.02915147268,0.02392392435,0.91530613873,0.03599552072,1.00306484562,0.00538058174,26.04861275960,1.87513090487
406C,0.920102389,0.008347325,0.925629417,0.003663119,0.018319006,0.018811572,0.909919219,0.033008968,1.003128643,0.003650378,25.95855806,1.351002158,0.91902970010,0.01211865395,0.92479434916,0.00469615584,0.02776306556,0.02290246342,0.91875955340,0.03519377584,1.00329015994,0.00545468912,25.70020003560,1.71469220780
406C2,0.917954011,0.01013995,0.917270349,0.0040178,0.026910153,0.020664785,0.920877631,0.030400138,0.999641197,0.0044589,23.23355776,1.20658788,0.92030388727,0.01127794324,0.91944771427,0.00451925979,0.02751787722,0.01888124875,0.91596074458,0.02920741978,0.99954953840,0.00532713179,23.90680520870,1.40204341841
406D,0.917954011,0.01013995,0.917270349,0.0040178,0.026910153,0.020664785,0.920877631,0.030400138,0.999641197,0.0044589,23.23355776,1.20658788,0.92030388727,0.01127794324,0.91944771427,0.00451925979,0.02751787722,0.01888124875,0.91596074458,0.02920741978,0.99954953840,0.00532713179,23.90680520870,1.40204341841
406E,0.919578749,0.012080335,0.924564029,0.005189701,0.028323698,0.025411673,0.907400214,0.032959791,1.002851958,0.00471462,25.63933922,1.849560465,0.92039091182,0.01168960953,0.92381010255,0.00534534070,0.02907422958,0.02251941060,0.90812858617,0.03414844260,1.00196441520,0.00489165014,25.38122691910,1.87882773346
406F,0.915675337,0.009379587,0.917046727,0.003173201,0.024341564,0.016843294,0.922093807,0.025350745,1.000805461,0.004695511,23.1449164,0.915524357,0.92058080393,0.01087119915,0.91925320400,0.00411902059,0.02492691405,0.01814816831,0.91335948443,0.02827845792,0.99928078554,0.00515284355,23.83295925500,1.26326332855
407A,0.920323534,0.013187988,0.925185461,0.00493083,0.03372405,0.023437839,0.920479081,0.031506733,1.002788061,0.005727818,25.85046894,1.792654765,0.91811553237,0.01219167572,0.92414559186,0.00488796176,0.02916198807,0.02321072539,0.92755528442,0.03553465653,1.00344468092,0.00528823913,25.48092387710,1.79233952514
407B,0.917494046,0.008428659,0.926281287,0.003236163,0.016367974,0.016886014,0.914559122,0.02653,1.004967689,0.003847063,26.18306232,1.207890849,0.91865729001,0.01060049226,0.92561721949,0.00433806754,0.02008017154,0.02072344903,0.91667841141,0.03032836754,1.00395061605,0.00468170038,25.98148879680,1.61063450724
