"Name","Logging.x","Property.x","Easting.x","Northing.x","Lat.x","Long.x","Cam.nr","series","picture","species.name","Species","Type","Nr","Year","Month","Day","Hour.Exact","Comment","Mammal","Logging.y","Property.y","Brand","Date.Placement","Date.Removed","Last.record","Days","Easting.y","Northing.y","Lat.y","Long.y","obsdate","visit","date_time_obs"
"11C","Yes","Laguna Seca",290853,1951848,17.64361,-88.971406,11,"C",292,"Ocellated Turkey","Meleagris ocellata","Bird",3,2020,6,17,17.44,"","No","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,290853,1951848,17.64361,-88.971406,2020-06-17,27,"2020-06-17 17.44"
"13E","Yes","Laguna Seca",289293,1951344,17.638912,-88.986049,13,"E",115,"Great Curassow","Crax rubra","Bird",3,2020,9,13,14.4,"","No","Yes","Laguna Seca","Bushnel",2020-08-08,2020-09-19,2020-09-19,43,289293,1951344,17.638912,-88.986049,2020-09-13,37,"2020-09-13 14.40"
"04C","Yes","Laguna Seca",288509,1951219,17.637707,-88.993427,4,"C",76,"White-lipped Peccary","Tayassu pecari","Mammal",3,2020,6,5,6.37,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-13,2020-06-11,20,288509,1951219,17.637707,-88.993427,2020-06-05,15,"2020-06-05 6.37"
"12E","Yes","Laguna Seca",285829,1953728,17.660116,-89.018925,12,"E",148,"Collared Peccary","Pecari tajacu","Mammal",3,2020,8,25,8.15,"","Yes","Yes","Laguna Seca","Bushnel",2020-08-08,2020-09-19,2020-09-09,4,285829,1953728,17.660116,-89.018925,2020-08-25,18,"2020-08-25 8.15"
"01B","Yes","Yalbac",286795,1939898,17.53528,-89.008442,1,"B",3244,"Ocellated Turkey","Meleagris ocellata","Bird",3,2020,4,27,8.1,"","No","Yes","Yalbac","Bushnel",2020-03-14,2020-05-09,2020-05-09,53,286795,1939898,17.53528,-89.008442,2020-04-27,45,"2020-04-27 8.10"
"01D","Yes","Yalbac",284079,1939085,17.527673,-89.033933,1,"D",34,"Ocellated Turkey","Meleagris ocellata","Bird",3,2020,6,15,10.01,"","No","Yes","Yalbac","Bushnel",2020-06-13,2020-07-18,2020-07-18,36,284079,1939085,17.527673,-89.033933,2020-06-15,3,"2020-06-15 10.01"
"01G","Yes","Yalbac",284473,1939228,17.529,-89.030236,1,"G",112,"Great Curassow","Crax rubra","Bird",3,2020,9,26,16.59,"","No","Yes","Yalbac","Bushnel",2020-09-19,2020-10-24,2020-10-24,35,284473,1939228,17.529,-89.030236,2020-09-26,8,"2020-09-26 16.59"
"02C","Yes","Yalbac",285590,1938106,17.518979,-89.01961,2,"C",193,"Great Curassow","Crax rubra","Bird",3,2020,5,20,6.58,"","No","Yes","Yalbac","Bushnel",2020-05-09,2020-06-13,2020-06-13,35,285590,1938106,17.518979,-89.01961,2020-05-20,12,"2020-05-20 6.58"
"02D","Yes","Yalbac",284809,1938170,17.519479,-89.026966,2,"D",408,"Great Curassow","Crax rubra","Bird",3,2020,7,17,13.25,"","No","Yes","Yalbac","Bushnel",2020-06-13,2020-07-18,2020-07-18,36,284809,1938170,17.519479,-89.026966,2020-07-17,35,"2020-07-17 13.25"
"02E","Yes","Yalbac",284808,1938170,17.519475,-89.026982,2,"E",181,"Great Curassow","Crax rubra","Bird",3,2020,7,29,6.01,"","No","Yes","Yalbac","Bushnel",2020-07-18,2020-08-22,2020-08-22,35,284808,1938170,17.519475,-89.026982,2020-07-29,12,"2020-07-29 6.01"
