"","Location","Cam.nr","series","picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","camera.brand","Location.1","Logging","site","Brand","Date.Placement","Date.Removed","Days","Northing","Easting","Lat","Long","Notes","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","Area","endday","obsdate","visit","errors","opp_errors"
"77","Yalbac 711E",711,"E",220,"Racoon",1,2017,10,6,20.38,"","Bushnell","Yalbac","No","711E","",2017-08-29,2017-10-31,21,1943231,287764,17.565477,-88.999653,NA,"","",NA,"","","","","",2017-09-20,2017-10-06,39,TRUE,FALSE
"78","Yalbac 711E",711,"E",271,"Red Brocket Deer",1,2017,10,18,9.29,"","Bushnell","Yalbac","No","711E","",2017-08-29,2017-10-31,21,1943231,287764,17.565477,-88.999653,NA,"","",NA,"","","","","",2017-09-20,2017-10-18,51,TRUE,FALSE
"79","Yalbac 712B",712,"B",37,"Gray fox",1,2017,7,7,14,"","Bushnell","Yalbac","Yes","712B","",2017-05-15,2017-07-18,8,1937363,293537,17.51301,-88.944714,NA,"","",NA,"","","","","",2017-05-24,2017-07-07,54,TRUE,FALSE
"80","Yalbac 712B",712,"B",1,"Great Curassow",1,2017,6,29,12.43,"","Bushnell","Yalbac","Yes","712B","",2017-05-15,2017-07-18,8,1937363,293537,17.51301,-88.944714,NA,"","",NA,"","","","","",2017-05-24,2017-06-29,46,TRUE,FALSE
"81","Yalbac 712B",712,"B",5,"Great Curassow",1,2017,7,1,7.07,"","Bushnell","Yalbac","Yes","712B","",2017-05-15,2017-07-18,8,1937363,293537,17.51301,-88.944714,NA,"","",NA,"","","","","",2017-05-24,2017-07-01,48,TRUE,FALSE
"82","Yalbac 712B",712,"B",10,"Great Curassow",1,2017,7,3,17.59,"","Bushnell","Yalbac","Yes","712B","",2017-05-15,2017-07-18,8,1937363,293537,17.51301,-88.944714,NA,"","",NA,"","","","","",2017-05-24,2017-07-03,50,TRUE,FALSE
"83","Yalbac 712B",712,"B",28,"Great Curassow",2,2017,7,7,5.54,"","Bushnell","Yalbac","Yes","712B","",2017-05-15,2017-07-18,8,1937363,293537,17.51301,-88.944714,NA,"","",NA,"","","","","",2017-05-24,2017-07-07,54,TRUE,FALSE
"84","Yalbac 712B",712,"B",22,"Puma",1,2017,7,6,18.01,"","Bushnell","Yalbac","Yes","712B","",2017-05-15,2017-07-18,8,1937363,293537,17.51301,-88.944714,NA,"","",NA,"","","","","",2017-05-24,2017-07-06,53,TRUE,FALSE
"85","Yalbac 712B",712,"B",7,"Red Brocket Deer",1,2017,7,1,17.3,"","Bushnell","Yalbac","Yes","712B","",2017-05-15,2017-07-18,8,1937363,293537,17.51301,-88.944714,NA,"","",NA,"","","","","",2017-05-24,2017-07-01,48,TRUE,FALSE
"86","Yalbac 712B",712,"B",19,"Red Brocket Deer",1,2017,7,6,10.43,"","Bushnell","Yalbac","Yes","712B","",2017-05-15,2017-07-18,8,1937363,293537,17.51301,-88.944714,NA,"","",NA,"","","","","",2017-05-24,2017-07-06,53,TRUE,FALSE
"87","Yalbac 712B",712,"B",16,"White-tailed Deer",1,2017,7,6,6.43,"","Bushnell","Yalbac","Yes","712B","",2017-05-15,2017-07-18,8,1937363,293537,17.51301,-88.944714,NA,"","",NA,"","","","","",2017-05-24,2017-07-06,53,TRUE,FALSE
"88","Yalbac 712E",712,"E",169,"Agouti",1,2017,10,22,16.57,"","Bushnell","Yalbac","No","712E","",2017-08-29,2017-10-31,34,1935327,284298,17.49375,-89.031492,NA,"","",NA,"","","","","",2017-10-03,2017-10-22,55,TRUE,FALSE
"89","Yalbac 712E",712,"E",172,"Collared Pecary",1,2017,10,26,15.09,"","Bushnell","Yalbac","No","712E","",2017-08-29,2017-10-31,34,1935327,284298,17.49375,-89.031492,NA,"","",NA,"","","","","",2017-10-03,2017-10-26,59,TRUE,FALSE
"90","Yalbac 712E",712,"E",136,"Common Opossum",1,2017,10,8,1.25,"","Bushnell","Yalbac","No","712E","",2017-08-29,2017-10-31,34,1935327,284298,17.49375,-89.031492,NA,"","",NA,"","","","","",2017-10-03,2017-10-08,41,TRUE,FALSE
"91","Yalbac 712E",712,"E",182,"Gray-headed Dove",1,2017,10,29,8.32,"","Bushnell","Yalbac","No","712E","",2017-08-29,2017-10-31,34,1935327,284298,17.49375,-89.031492,NA,"","",NA,"","","","","",2017-10-03,2017-10-29,62,TRUE,FALSE
"92","Yalbac 712E",712,"E",152,"Great Curassow",2,2017,10,16,16.19,"","Bushnell","Yalbac","No","712E","",2017-08-29,2017-10-31,34,1935327,284298,17.49375,-89.031492,NA,"","",NA,"","","","","",2017-10-03,2017-10-16,49,TRUE,FALSE
"93","Yalbac 712E",712,"E",157,"Great Curassow",1,2017,10,18,14.08,"","Bushnell","Yalbac","No","712E","",2017-08-29,2017-10-31,34,1935327,284298,17.49375,-89.031492,NA,"","",NA,"","","","","",2017-10-03,2017-10-18,51,TRUE,FALSE
"94","Yalbac 712E",712,"E",148,"Jaguar",1,2017,10,12,8.07,"","Bushnell","Yalbac","No","712E","",2017-08-29,2017-10-31,34,1935327,284298,17.49375,-89.031492,NA,"","",NA,"","","","","",2017-10-03,2017-10-12,45,TRUE,FALSE
"95","Yalbac 712E",712,"E",160,"Ocelot",1,2017,10,20,20.27,"","Bushnell","Yalbac","No","712E","",2017-08-29,2017-10-31,34,1935327,284298,17.49375,-89.031492,NA,"","",NA,"","","","","",2017-10-03,2017-10-20,53,TRUE,FALSE
"96","Yalbac 712E",712,"E",163,"Puma",1,2017,10,22,4.23,"","Bushnell","Yalbac","No","712E","",2017-08-29,2017-10-31,34,1935327,284298,17.49375,-89.031492,NA,"","",NA,"","","","","",2017-10-03,2017-10-22,55,TRUE,FALSE
"97","Yalbac 713E",713,"E",55,"White-tailed Deer",1,2017,10,16,10.31,"","Bushnell","Yalbac","No","713E","",2017-08-29,2017-10-31,34,1942743,287473,17.561047,-89.002346,NA,"","",NA,"","","","","",2017-10-03,2017-10-16,49,TRUE,FALSE
"98","Yalbac 714F",714,"F",35,"Agouti",1,2017,9,17,22.01,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-09-17,-43,FALSE,TRUE
"99","Yalbac 714F",714,"F",47,"Agouti",1,2017,9,20,17.56,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-09-20,-40,FALSE,TRUE
