"site","Camera","picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","camera.brand","Location.1","Logging","Mammal","Easting.y","Northing.y","Site","Active_Log","obsdate","First_Obs","Last.Record_clean","Days","date_time_obs"
"803A","803A",920,"Agouti",1,2018,2,25,10.51,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-02-25,2018-01-02,2018-03-05,63,"2018-02-25 10.51"
"803A","803A",962,"Agouti",2,2018,2,27,7.3,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-02-27,2018-01-02,2018-03-05,63,"2018-02-27 7.30"
"803A","803A",1004,"Agouti",1,2018,3,2,18.1,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-03-02,2018-01-02,2018-03-05,63,"2018-03-02 18.10"
"803A","803A",1028,"Agouti",1,2018,3,4,18.07,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-03-04,2018-01-02,2018-03-05,63,"2018-03-04 18.07"
"807B","807B",17,"Agouti",1,2018,3,7,7.51,"","bushnell","Yalbac","no","Yes",291485,1956145,"Yalbac","no",2018-03-07,2018-03-05,2018-04-20,46,"2018-03-07 7.51"
"803B","803B",26,"Agouti",1,2018,3,7,7.02,"","bushnell","Yalbac","no","Yes",289436,1956746,"Yalbac","no",2018-03-07,2018-03-05,2018-04-20,46,"2018-03-07 7.02"
"810B","810A",34,"Agouti",1,2018,3,5,9,"","bushnell","Laguna Seca","no","Yes",286075,1935996,"Laguna Seca","no",2018-03-05,2018-03-05,2018-04-20,46,"2018-03-05 9.00"
"803B","803B",35,"Agouti",1,2018,3,8,9.35,"","bushnell","Yalbac","no","Yes",289436,1956746,"Yalbac","no",2018-03-08,2018-03-05,2018-04-20,46,"2018-03-08 9.35"
"805B","805B",76,"Agouti",1,2018,3,28,7.31,"","bushnell","Yalbac","no","Yes",290411,1956668,"Yalbac","no",2018-03-28,2018-03-05,2018-04-20,46,"2018-03-28 7.31"
"803B","803B",95,"Agouti",1,2018,3,12,17.2,"","bushnell","Yalbac","no","Yes",289436,1956746,"Yalbac","no",2018-03-12,2018-03-05,2018-04-20,46,"2018-03-12 17.20"
"807B","807B",153,"Agouti",1,2018,3,14,7.21,"","bushnell","Yalbac","no","Yes",291485,1956145,"Yalbac","no",2018-03-14,2018-03-05,2018-04-20,46,"2018-03-14 7.21"
"803B","803B",197,"Agouti",1,2018,3,17,15.47,"","bushnell","Yalbac","no","Yes",289436,1956746,"Yalbac","no",2018-03-17,2018-03-05,2018-04-20,46,"2018-03-17 15.47"
"803B","803B",254,"Agouti",1,2018,3,22,8.23,"","bushnell","Yalbac","no","Yes",289436,1956746,"Yalbac","no",2018-03-22,2018-03-05,2018-04-20,46,"2018-03-22 8.23"
"803B","803B",266,"Agouti",1,2018,3,23,16.52,"","bushnell","Yalbac","no","Yes",289436,1956746,"Yalbac","no",2018-03-23,2018-03-05,2018-04-20,46,"2018-03-23 16.52"
"810B","810B",389,"Agouti",1,2018,3,23,14.54,"","bushnell","Laguna Seca","no","Yes",286075,1935996,"Laguna Seca","no",2018-03-23,2018-03-05,2018-04-20,46,"2018-03-23 14.54"
