"site","Camera","picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","camera.brand","Location.1","Logging","Mammal","Easting.y","Northing.y","Site","Active_Log","obsdate","First_Obs","Last.Record_clean","Days","date_time_obs"
"804C","804C",61,"Ocellated Turkey",1,2018,5,7,8.19,"","bushnell","Yalbac","no","No",288918,1956756,"Yalbac","no",2018-05-07,2018-04-20,2018-05-22,33,"2018-05-07 8.19"
"810C","810C",67,"Ocellated Turkey",1,2018,4,22,5.53,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-04-22,2018-04-20,2018-05-22,33,"2018-04-22 5.53"
"810C","810C",104,"Ocellated Turkey",1,2018,4,23,17.27,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-04-23,2018-04-20,2018-05-22,33,"2018-04-23 17.27"
"804C","804C",113,"Ocellated Turkey",1,2018,5,18,7.25,"","bushnell","Yalbac","no","No",288918,1956756,"Yalbac","no",2018-05-18,2018-04-20,2018-05-22,33,"2018-05-18 7.25"
"804C","804C",117,"Ocellated Turkey",2,2018,5,18,17.21,"","bushnell","Yalbac","no","No",288918,1956756,"Yalbac","no",2018-05-18,2018-04-20,2018-05-22,33,"2018-05-18 17.21"
"804C","804C",123,"Ocellated Turkey",1,2018,5,19,16.37,"","bushnell","Yalbac","no","No",288918,1956756,"Yalbac","no",2018-05-19,2018-04-20,2018-05-22,33,"2018-05-19 16.37"
"810C","810C",124,"Ocellated Turkey",1,2018,4,24,6.21,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-04-24,2018-04-20,2018-05-22,33,"2018-04-24 6.21"
"810C","810C",155,"Ocellated Turkey",1,2018,4,28,9.19,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-04-28,2018-04-20,2018-05-22,33,"2018-04-28 9.19"
"810C","810C",158,"Ocellated Turkey",1,2018,4,28,16.21,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-04-28,2018-04-20,2018-05-22,33,"2018-04-28 16.21"
"810C","810C",173,"Ocellated Turkey",1,2018,5,1,7.42,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-01,2018-04-20,2018-05-22,33,"2018-05-01 7.42"
"810C","810C",175,"Ocellated Turkey",1,2018,5,1,14.45,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-01,2018-04-20,2018-05-22,33,"2018-05-01 14.45"
"810C","810C",187,"Ocellated Turkey",1,2018,5,3,6.58,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-03,2018-04-20,2018-05-22,33,"2018-05-03 6.58"
"810C","810C",191,"Ocellated Turkey",1,2018,5,3,11.41,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-03,2018-04-20,2018-05-22,33,"2018-05-03 11.41"
"810C","810C",199,"Ocellated Turkey",1,2018,5,4,6,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-04,2018-04-20,2018-05-22,33,"2018-05-04 6.00"
"810C","810C",229,"Ocellated Turkey",1,2018,5,7,8.41,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-07,2018-04-20,2018-05-22,33,"2018-05-07 8.41"
"810C","810C",235,"Ocellated Turkey",1,2018,5,7,15.38,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-07,2018-04-20,2018-05-22,33,"2018-05-07 15.38"
"810C","810C",253,"Ocellated Turkey",1,2018,5,9,5.44,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-09,2018-04-20,2018-05-22,33,"2018-05-09 5.44"
"810C","810C",263,"Ocellated Turkey",1,2018,5,9,16.34,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-09,2018-04-20,2018-05-22,33,"2018-05-09 16.34"
"810C","810C",266,"Ocellated Turkey",1,2018,5,9,17.29,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-09,2018-04-20,2018-05-22,33,"2018-05-09 17.29"
"810C","810C",272,"Ocellated Turkey",1,2018,5,10,6.09,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-10,2018-04-20,2018-05-22,33,"2018-05-10 6.09"
"810C","810C",283,"Ocellated Turkey",1,2018,5,10,7.25,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-10,2018-04-20,2018-05-22,33,"2018-05-10 7.25"
"810C","810C",302,"Ocellated Turkey",1,2018,5,10,14.56,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-10,2018-04-20,2018-05-22,33,"2018-05-10 14.56"
"810C","810C",304,"Ocellated Turkey",1,2018,5,10,16.21,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-10,2018-04-20,2018-05-22,33,"2018-05-10 16.21"
"810C","810C",307,"Ocellated Turkey",1,2018,5,10,17.56,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-10,2018-04-20,2018-05-22,33,"2018-05-10 17.56"
"810C","810C",335,"Ocellated Turkey",1,2018,5,11,6.51,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-11,2018-04-20,2018-05-22,33,"2018-05-11 6.51"
"810C","810C",337,"Ocellated Turkey",1,2018,5,11,7.43,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-11,2018-04-20,2018-05-22,33,"2018-05-11 7.43"
"810C","810C",340,"Ocellated Turkey",1,2018,5,11,15.34,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-11,2018-04-20,2018-05-22,33,"2018-05-11 15.34"
"810C","810C",352,"Ocellated Turkey",1,2018,5,13,14.4,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-13,2018-04-20,2018-05-22,33,"2018-05-13 14.40"
"810C","810C",355,"Ocellated Turkey",1,2018,5,13,15.21,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-13,2018-04-20,2018-05-22,33,"2018-05-13 15.21"
"810C","810C",361,"Ocellated Turkey",1,2018,5,14,5.4,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-14,2018-04-20,2018-05-22,33,"2018-05-14 5.40"
"810C","810C",365,"Ocellated Turkey",1,2018,5,14,14.53,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-14,2018-04-20,2018-05-22,33,"2018-05-14 14.53"
"810C","810C",374,"Ocellated Turkey",1,2018,5,15,5.28,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-15,2018-04-20,2018-05-22,33,"2018-05-15 5.28"
"810C","810C",377,"Ocellated Turkey",1,2018,5,15,6.14,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-15,2018-04-20,2018-05-22,33,"2018-05-15 6.14"
"810C","810C",379,"Ocellated Turkey",1,2018,5,15,7.14,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-15,2018-04-20,2018-05-22,33,"2018-05-15 7.14"
"810C","810C",383,"Ocellated Turkey",1,2018,5,16,5.59,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-16,2018-04-20,2018-05-22,33,"2018-05-16 5.59"
"810C","810C",385,"Ocellated Turkey",1,2018,5,16,6.56,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-16,2018-04-20,2018-05-22,33,"2018-05-16 6.56"
"810C","810C",388,"Ocellated Turkey",1,2018,5,16,14.46,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-16,2018-04-20,2018-05-22,33,"2018-05-16 14.46"
"810C","810C",397,"Ocellated Turkey",1,2018,5,16,16.59,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-16,2018-04-20,2018-05-22,33,"2018-05-16 16.59"
"810C","810C",401,"Ocellated Turkey",1,2018,5,17,5.54,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-17,2018-04-20,2018-05-22,33,"2018-05-17 5.54"
"810C","810C",403,"Ocellated Turkey",1,2018,5,17,7.13,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-17,2018-04-20,2018-05-22,33,"2018-05-17 7.13"
"810C","810C",407,"Ocellated Turkey",1,2018,5,17,17.14,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-17,2018-04-20,2018-05-22,33,"2018-05-17 17.14"
"810C","810C",409,"Ocellated Turkey",1,2018,5,17,17.48,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-17,2018-04-20,2018-05-22,33,"2018-05-17 17.48"
"810C","810C",415,"Ocellated Turkey",1,2018,5,18,6.4,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-18,2018-04-20,2018-05-22,33,"2018-05-18 6.40"
"810C","810C",427,"Ocellated Turkey",1,2018,5,18,8.45,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-18,2018-04-20,2018-05-22,33,"2018-05-18 8.45"
"810C","810C",463,"Ocellated Turkey",1,2018,5,19,9.45,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-19,2018-04-20,2018-05-22,33,"2018-05-19 9.45"
"810C","810C",479,"Ocellated Turkey",1,2018,5,20,14.44,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-20,2018-04-20,2018-05-22,33,"2018-05-20 14.44"
"810C","810C",481,"Ocellated Turkey",1,2018,5,20,16.14,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-20,2018-04-20,2018-05-22,33,"2018-05-20 16.14"
"810C","810C",512,"Ocellated Turkey",1,2018,5,21,16.12,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-21,2018-04-20,2018-05-22,33,"2018-05-21 16.12"
"810C","810C",514,"Ocellated Turkey",1,2018,5,21,17.45,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-21,2018-04-20,2018-05-22,33,"2018-05-21 17.45"
"810C","810C",522,"Ocellated Turkey",1,2018,5,22,6.56,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-22,2018-04-20,2018-05-22,33,"2018-05-22 6.56"
"810C","810C",527,"Ocellated Turkey",1,2018,5,22,7.54,"","bushnell","Laguna Seca","no","No",286074,1935990,"Laguna Seca","no",2018-05-22,2018-04-20,2018-05-22,33,"2018-05-22 7.54"
"812D","812D",1,"Ocellated Turkey",1,2018,5,22,8.45,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-05-22,2018-05-22,2018-06-27,36,"2018-05-22 8.45"
"812D","812D",4,"Ocellated Turkey",1,2018,5,22,12.34,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-05-22,2018-05-22,2018-06-27,36,"2018-05-22 12.34"
"812D","812D",31,"Ocellated Turkey",1,2018,5,25,8.18,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-05-25,2018-05-22,2018-06-27,36,"2018-05-25 8.18"
"810D","810D",49,"Ocellated Turkey",1,2018,5,24,17.12,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-05-24,2018-05-22,2018-06-27,36,"2018-05-24 17.12"
"810D","810D",56,"Ocellated Turkey",1,2018,5,27,6.16,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-05-27,2018-05-22,2018-06-27,36,"2018-05-27 6.16"
"810D","810D",62,"Ocellated Turkey",1,2018,5,27,16.31,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-05-27,2018-05-22,2018-06-27,36,"2018-05-27 16.31"
"810D","810D",65,"Ocellated Turkey",1,2018,5,28,12.25,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-05-28,2018-05-22,2018-06-27,36,"2018-05-28 12.25"
"807D","807D",66,"Ocellated Turkey",1,2018,6,10,5.34,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-06-10,2018-05-22,2018-06-25,34,"2018-06-10 5.34"
"810D","810D",79,"Ocellated Turkey",1,2018,5,31,5.33,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-05-31,2018-05-22,2018-06-27,36,"2018-05-31 5.33"
"810D","810D",82,"Ocellated Turkey",1,2018,5,31,6.52,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-05-31,2018-05-22,2018-06-27,36,"2018-05-31 6.52"
"803D","803D",107,"Ocellated Turkey",1,2018,5,25,5.39,"","bushnell","Yalbac","no","No",293723,1956073,"Yalbac","no",2018-05-25,2018-05-22,2018-06-27,36,"2018-05-25 5.39"
"812D","812D",112,"Ocellated Turkey",1,2018,6,10,8.5,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-06-10,2018-05-22,2018-06-27,36,"2018-06-10 8.50"
"810D","810D",113,"Ocellated Turkey",1,2018,6,3,7.28,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-03,2018-05-22,2018-06-27,36,"2018-06-03 7.28"
"807D","807D",114,"Ocellated Turkey",1,2018,6,25,16.17,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-06-25,2018-05-22,2018-06-25,34,"2018-06-25 16.17"
"810D","810D",115,"Ocellated Turkey",1,2018,6,3,15.4,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-03,2018-05-22,2018-06-27,36,"2018-06-03 15.40"
"812D","812D",118,"Ocellated Turkey",3,2018,6,11,9.18,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-06-11,2018-05-22,2018-06-27,36,"2018-06-11 9.18"
"810D","810D",124,"Ocellated Turkey",1,2018,6,5,9.13,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-05,2018-05-22,2018-06-27,36,"2018-06-05 9.13"
"812D","812D",130,"Ocellated Turkey",1,2018,6,11,11.02,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-06-11,2018-05-22,2018-06-27,36,"2018-06-11 11.02"
"807D","807D",142,"Ocellated Turkey",1,2018,6,10,5.51,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-06-10,2018-05-22,2018-06-25,34,"2018-06-10 5.51"
"810D","810D",145,"Ocellated Turkey",1,2018,6,7,7.29,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-07,2018-05-22,2018-06-27,36,"2018-06-07 7.29"
"812D","812D",145,"Ocellated Turkey",1,2018,6,12,13.25,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-06-12,2018-05-22,2018-06-27,36,"2018-06-12 13.25"
"812D","812D",148,"Ocellated Turkey",1,2018,6,12,17.16,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-06-12,2018-05-22,2018-06-27,36,"2018-06-12 17.16"
"810D","810D",151,"Ocellated Turkey",1,2018,6,7,9.4,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-07,2018-05-22,2018-06-27,36,"2018-06-07 9.40"
"810D","810D",157,"Ocellated Turkey",1,2018,6,7,14.56,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-07,2018-05-22,2018-06-27,36,"2018-06-07 14.56"
"807D","807D",158,"Ocellated Turkey",1,2018,6,10,7.06,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-06-10,2018-05-22,2018-06-25,34,"2018-06-10 7.06"
"812D","812D",163,"Ocellated Turkey",1,2018,6,17,11.43,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-06-17,2018-05-22,2018-06-27,36,"2018-06-17 11.43"
"810D","810D",167,"Ocellated Turkey",1,2018,6,8,5.52,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-08,2018-05-22,2018-06-27,36,"2018-06-08 5.52"
"807D","807D",170,"Ocellated Turkey",1,2018,6,10,17.55,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-06-10,2018-05-22,2018-06-25,34,"2018-06-10 17.55"
"810D","810D",172,"Ocellated Turkey",1,2018,6,8,9.38,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-08,2018-05-22,2018-06-27,36,"2018-06-08 9.38"
"807D","807D",178,"Ocellated Turkey",1,2018,6,10,18.51,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-06-10,2018-05-22,2018-06-25,34,"2018-06-10 18.51"
"812D","812D",178,"Ocellated Turkey",1,2018,6,18,17.12,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-06-18,2018-05-22,2018-06-27,36,"2018-06-18 17.12"
"810D","810D",185,"Ocellated Turkey",1,2018,6,8,14.2,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-08,2018-05-22,2018-06-27,36,"2018-06-08 14.20"
"807D","807D",194,"Ocellated Turkey",1,2018,6,11,15.46,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-06-11,2018-05-22,2018-06-25,34,"2018-06-11 15.46"
"812D","812D",196,"Ocellated Turkey",1,2018,6,20,8.5,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-06-20,2018-05-22,2018-06-27,36,"2018-06-20 8.50"
"812D","812D",199,"Ocellated Turkey",1,2018,6,20,9.26,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-06-20,2018-05-22,2018-06-27,36,"2018-06-20 9.26"
"810D","810D",202,"Ocellated Turkey",1,2018,6,9,13.4,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-09,2018-05-22,2018-06-27,36,"2018-06-09 13.40"
"812D","812D",203,"Ocellated Turkey",1,2018,6,20,13.58,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-06-20,2018-05-22,2018-06-27,36,"2018-06-20 13.58"
"810D","810D",208,"Ocellated Turkey",1,2018,6,9,15.08,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-09,2018-05-22,2018-06-27,36,"2018-06-09 15.08"
"807D","807D",210,"Ocellated Turkey",1,2018,6,12,5.38,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-06-12,2018-05-22,2018-06-25,34,"2018-06-12 5.38"
"810D","810D",211,"Ocellated Turkey",1,2018,6,9,16.35,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-09,2018-05-22,2018-06-27,36,"2018-06-09 16.35"
"812D","812D",211,"Ocellated Turkey",1,2018,6,21,7.31,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-06-21,2018-05-22,2018-06-27,36,"2018-06-21 7.31"
"812D","812D",217,"Ocellated Turkey",1,2018,6,21,16,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-06-21,2018-05-22,2018-06-27,36,"2018-06-21 16.00"
"810D","810D",239,"Ocellated Turkey",1,2018,6,11,16.27,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-11,2018-05-22,2018-06-27,36,"2018-06-11 16.27"
"812D","812D",247,"Ocellated Turkey",1,2018,6,23,13.58,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-06-23,2018-05-22,2018-06-27,36,"2018-06-23 13.58"
"810D","810D",250,"Ocellated Turkey",1,2018,6,13,5.58,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-13,2018-05-22,2018-06-27,36,"2018-06-13 5.58"
"812D","812D",256,"Ocellated Turkey",1,2018,6,25,13.22,"","bushnell","Laguna Seca","no","No",286087,1935581,"Laguna Seca","no",2018-06-25,2018-05-22,2018-06-27,36,"2018-06-25 13.22"
"810D","810D",260,"Ocellated Turkey",1,2018,6,13,16.02,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-13,2018-05-22,2018-06-27,36,"2018-06-13 16.02"
"810D","810D",265,"Ocellated Turkey",1,2018,6,13,17.49,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-13,2018-05-22,2018-06-27,36,"2018-06-13 17.49"
"810D","810D",271,"Ocellated Turkey",2,2018,6,14,5.44,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-14,2018-05-22,2018-06-27,36,"2018-06-14 5.44"
"807D","807D",281,"Ocellated Turkey",1,2018,6,12,6.13,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-06-12,2018-05-22,2018-06-25,34,"2018-06-12 6.13"
"810D","810D",286,"Ocellated Turkey",2,2018,6,14,6.43,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-14,2018-05-22,2018-06-27,36,"2018-06-14 6.43"
"810D","810D",292,"Ocellated Turkey",2,2018,6,14,9.12,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-14,2018-05-22,2018-06-27,36,"2018-06-14 9.12"
"803D","803D",301,"Ocellated Turkey",1,2018,5,28,5.24,"","bushnell","Yalbac","no","No",293723,1956073,"Yalbac","no",2018-05-28,2018-05-22,2018-06-27,36,"2018-05-28 5.24"
"810D","810D",307,"Ocellated Turkey",1,2018,6,14,14.33,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-14,2018-05-22,2018-06-27,36,"2018-06-14 14.33"
"803D","803D",310,"Ocellated Turkey",1,2018,5,28,5.55,"","bushnell","Yalbac","no","No",293723,1956073,"Yalbac","no",2018-05-28,2018-05-22,2018-06-27,36,"2018-05-28 5.55"
"810D","810D",316,"Ocellated Turkey",1,2018,6,15,16.55,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-15,2018-05-22,2018-06-27,36,"2018-06-15 16.55"
"810D","810D",322,"Ocellated Turkey",1,2018,6,16,11.18,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-16,2018-05-22,2018-06-27,36,"2018-06-16 11.18"
"810D","810D",328,"Ocellated Turkey",1,2018,6,17,8.59,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-17,2018-05-22,2018-06-27,36,"2018-06-17 8.59"
"810D","810D",337,"Ocellated Turkey",1,2018,6,17,17.46,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-17,2018-05-22,2018-06-27,36,"2018-06-17 17.46"
"810D","810D",346,"Ocellated Turkey",1,2018,6,18,17.42,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-18,2018-05-22,2018-06-27,36,"2018-06-18 17.42"
"810D","810D",362,"Ocellated Turkey",1,2018,6,19,16.52,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-19,2018-05-22,2018-06-27,36,"2018-06-19 16.52"
"810D","810D",367,"Ocellated Turkey",3,2018,6,21,18.02,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-21,2018-05-22,2018-06-27,36,"2018-06-21 18.02"
"810D","810D",398,"Ocellated Turkey",1,2018,6,23,10.18,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-23,2018-05-22,2018-06-27,36,"2018-06-23 10.18"
"810D","810D",409,"Ocellated Turkey",1,2018,6,26,16.5,"","bushnell","Laguna Seca","no","No",285371,1935931,"Laguna Seca","no",2018-06-26,2018-05-22,2018-06-27,36,"2018-06-26 16.50"
"807D","807D",457,"Ocellated Turkey",1,2018,5,26,16.01,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-05-26,2018-05-22,2018-06-25,34,"2018-05-26 16.01"
"807D","807D",467,"Ocellated Turkey",1,2018,5,27,6.21,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-05-27,2018-05-22,2018-06-25,34,"2018-05-27 6.21"
"807D","807D",473,"Ocellated Turkey",2,2018,5,27,9.16,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-05-27,2018-05-22,2018-06-25,34,"2018-05-27 9.16"
"803D","803D",490,"Ocellated Turkey",1,2018,6,1,5.42,"","bushnell","Yalbac","no","No",293723,1956073,"Yalbac","no",2018-06-01,2018-05-22,2018-06-27,36,"2018-06-01 5.42"
"803D","803D",496,"Ocellated Turkey",1,2018,6,1,7.12,"","bushnell","Yalbac","no","No",293723,1956073,"Yalbac","no",2018-06-01,2018-05-22,2018-06-27,36,"2018-06-01 7.12"
"807D","807D",497,"Ocellated Turkey",1,2018,5,29,17.06,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-05-29,2018-05-22,2018-06-25,34,"2018-05-29 17.06"
"807D","807D",523,"Ocellated Turkey",1,2018,5,30,14.49,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-05-30,2018-05-22,2018-06-25,34,"2018-05-30 14.49"
"803D","803D",532,"Ocellated Turkey",1,2018,6,1,10.45,"","bushnell","Yalbac","no","No",293723,1956073,"Yalbac","no",2018-06-01,2018-05-22,2018-06-27,36,"2018-06-01 10.45"
"807D","807D",538,"Ocellated Turkey",1,2018,6,22,7.51,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-06-22,2018-05-22,2018-06-25,34,"2018-06-22 7.51"
"803D","803D",541,"Ocellated Turkey",1,2018,6,3,12.2,"","bushnell","Yalbac","no","No",293723,1956073,"Yalbac","no",2018-06-03,2018-05-22,2018-06-27,36,"2018-06-03 12.20"
"807D","807D",585,"Ocellated Turkey",1,2018,6,1,16.41,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-06-01,2018-05-22,2018-06-25,34,"2018-06-01 16.41"
"807D","807D",597,"Ocellated Turkey",1,2018,6,2,8.13,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-06-02,2018-05-22,2018-06-25,34,"2018-06-02 8.13"
"803D","803D",607,"Ocellated Turkey",2,2018,6,4,5.3,"","bushnell","Yalbac","no","No",293723,1956073,"Yalbac","no",2018-06-04,2018-05-22,2018-06-27,36,"2018-06-04 5.30"
"807D","807D",613,"Ocellated Turkey",1,2018,6,2,14.42,"","bushnell","Yalbac","no","No",289277,1956284,"Yalbac","no",2018-06-02,2018-05-22,2018-06-25,34,"2018-06-02 14.42"
"803D","803D",616,"Ocellated Turkey",2,2018,6,4,6.05,"","bushnell","Yalbac","no","No",293723,1956073,"Yalbac","no",2018-06-04,2018-05-22,2018-06-27,36,"2018-06-04 6.05"
"803D","803D",628,"Ocellated Turkey",1,2018,6,5,13.42,"","bushnell","Yalbac","no","No",293723,1956073,"Yalbac","no",2018-06-05,2018-05-22,2018-06-27,36,"2018-06-05 13.42"
"803D","803D",637,"Ocellated Turkey",1,2018,6,5,16.25,"","bushnell","Yalbac","no","No",293723,1956073,"Yalbac","no",2018-06-05,2018-05-22,2018-06-27,36,"2018-06-05 16.25"
