"","site","picture","Species","Number_recorded","Year","Month","Day","Hour","obsdate","Mammal","Easting","Northing","date_time_obs"
"94","407E",379,"Agouti",1,2014,12,9,16.46,"2014-12-09","Yes",284554,1935262,"2014-12-09 16.46"
"95","407E",409,"Agouti",1,2014,12,11,12.09,"2014-12-11","Yes",284554,1935262,"2014-12-11 12.09"
"96","407E",415,"Agouti",1,2014,12,12,13.03,"2014-12-12","Yes",284554,1935262,"2014-12-12 13.03"
"97","404E",439,"Agouti",2,2014,12,13,6.15,"2014-12-13","Yes",304653,1927840,"2014-12-13 6.15"
"98","407E",430,"Agouti",1,2014,12,15,9.14,"2014-12-15","Yes",284554,1935262,"2014-12-15 9.14"
"99","407E",433,"Agouti",1,2014,12,15,16.16,"2014-12-15","Yes",284554,1935262,"2014-12-15 16.16"
"100","407E",442,"Agouti",1,2014,12,16,14.34,"2014-12-16","Yes",284554,1935262,"2014-12-16 14.34"
"101","407E",451,"Agouti",1,2014,12,18,7.01,"2014-12-18","Yes",284554,1935262,"2014-12-18 7.01"
"102","407E",454,"Agouti",1,2014,12,18,9.37,"2014-12-18","Yes",284554,1935262,"2014-12-18 9.37"
"103","407F",22,"Agouti",1,2014,12,26,10.45,"2014-12-26","Yes",288175,1935951,"2014-12-26 10.45"
"104","411F",319,"Agouti",1,2014,12,30,9.31,"2014-12-30","Yes",291694,1928983,"2014-12-30 9.31"
"105","404F",850,"Agouti",1,2015,1,1,8.5,"2015-01-01","Yes",304653,1927840,"2015-01-01 8.50"
"106","407F",25,"Agouti",1,2015,1,5,12.13,"2015-01-05","Yes",288175,1935951,"2015-01-05 12.13"
"107","407F",73,"Agouti",1,2015,1,8,12.38,"2015-01-08","Yes",288175,1935951,"2015-01-08 12.38"
"108","402F",67,"Agouti",1,2015,1,13,7.14,"2015-01-13","Yes",303762,1927588,"2015-01-13 7.14"
"109","407F",112,"Agouti",1,2015,1,13,15.58,"2015-01-13","Yes",288175,1935951,"2015-01-13 15.58"
"110","404F",868,"Agouti",1,2015,1,14,6.54,"2015-01-14","Yes",304653,1927840,"2015-01-14 6.54"
"111","403F",634,"Agouti",1,2015,1,16,16.35,"2015-01-16","Yes",291689,1929549,"2015-01-16 16.35"
"112","407F",130,"Agouti",1,2015,1,17,6.43,"2015-01-17","Yes",288175,1935951,"2015-01-17 6.43"
"113","403F",664,"Agouti",1,2015,1,20,16.27,"2015-01-20","Yes",291689,1929549,"2015-01-20 16.27"
"114","403F",796,"Agouti",1,2015,1,28,9.01,"2015-01-28","Yes",291689,1929549,"2015-01-28 9.01"
"115","402F",118,"Agouti",1,2015,2,1,11.17,"2015-02-01","Yes",303762,1927588,"2015-02-01 11.17"
"116","412D",84,"Ameiva undata",1,2014,9,28,11.29,"2014-09-28","No",283343,1933216,"2014-09-28 11.29"
"117","408C2",649,"Bare-throated Tiger Heron",1,2014,7,26,14.46,"2014-07-26","No",283344,1933425,"2014-07-26 14.46"
"118","401C2",152,"Black-faced Antthrush",3,2014,8,27,11.52,"2014-08-27","No",306148,1928079,"2014-08-27 11.52"
"119","406A",243,"Blue-crowned Mot-mot",1,2014,4,11,5.5,"2014-04-11","No",283348,1933228,"2014-04-11 5.50"
"120","409A",20,"Central American Tapir",1,2014,3,20,7.29,"2014-03-20","Yes",283362,1934000,"2014-03-20 7.29"
"121","401A",17,"Central American Tapir",1,2014,3,22,9.08,"2014-03-22","Yes",299505,1927437,"2014-03-22 9.08"
"122","401A",40,"Central American Tapir",1,2014,3,27,15.33,"2014-03-27","Yes",299505,1927437,"2014-03-27 15.33"
"123","409A",96,"Central American Tapir",1,2014,3,27,5.13,"2014-03-27","Yes",283362,1934000,"2014-03-27 5.13"
"124","405A",85,"Central American Tapir",1,2014,3,28,6.08,"2014-03-28","Yes",283423,1932759,"2014-03-28 6.08"
"125","406A",126,"Central American Tapir",1,2014,3,29,22.28,"2014-03-29","Yes",283348,1933228,"2014-03-29 22.28"
"126","409A",101,"Central American Tapir",1,2014,3,29,5.25,"2014-03-29","Yes",283362,1934000,"2014-03-29 5.25"
"127","405A",109,"Central American Tapir",1,2014,3,30,6.35,"2014-03-30","Yes",283423,1932759,"2014-03-30 6.35"
"128","401A",79,"Central American Tapir",1,2014,4,7,4.13,"2014-04-07","Yes",299505,1927437,"2014-04-07 4.13"
"129","401A",91,"Central American Tapir",1,2014,4,13,2.06,"2014-04-13","Yes",299505,1927437,"2014-04-13 2.06"
"130","401A",109,"Central American Tapir",1,2014,4,17,12.07,"2014-04-17","Yes",299505,1927437,"2014-04-17 12.07"
"131","405A",232,"Central American Tapir",1,2014,4,18,10.12,"2014-04-18","Yes",283423,1932759,"2014-04-18 10.12"
"132","406A",432,"Central American Tapir",1,2014,4,18,22.02,"2014-04-18","Yes",283348,1933228,"2014-04-18 22.02"
"133","405A",248,"Central American Tapir",1,2014,4,20,9.48,"2014-04-20","Yes",283423,1932759,"2014-04-20 9.48"
"134","406A",438,"Central American Tapir",1,2014,4,20,21.59,"2014-04-20","Yes",283348,1933228,"2014-04-20 21.59"
"135","401A",112,"Central American Tapir",1,2014,4,23,2.12,"2014-04-23","Yes",299505,1927437,"2014-04-23 2.12"
"136","408B",40,"Central American Tapir",1,2014,5,3,2.25,"2014-05-03","Yes",284005,1935106,"2014-05-03 2.25"
"137","411B",613,"Central American Tapir",1,2014,5,10,20.3,"2014-05-10","Yes",283544,1931474,"2014-05-10 20.30"
"138","412B",215,"Central American Tapir",1,2014,5,10,20.22,"2014-05-10","Yes",283420,1931719,"2014-05-10 20.22"
"139","405B",301,"Central American Tapir",1,2014,5,15,5.49,"2014-05-15","Yes",283454,1932033,"2014-05-15 5.49"
"140","411B",836,"Central American Tapir",1,2014,5,15,5.59,"2014-05-15","Yes",283544,1931474,"2014-05-15 5.59"
"141","412B",237,"Central American Tapir",1,2014,5,18,0.28,"2014-05-18","Yes",283420,1931719,"2014-05-18 0.28"
