"site","Location","Cam.nr","Series","Picture","Species","Nr","Year","Month","Day","Hour_exact","Hour_BERDS","Comment","Camera.Brand","Easting.1","Northing.1","Mammal","Brand","Date_Place","Date_Remov","obsdate","Last.Record","Days","visit","Notes","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","date_time_obs","First_Obs"
"511H","Yalbac511H",511,"H",370,"Ocelot",1,2016,1,23,0.08,0,"","Moultrie",282087,1935456.716,"Yes","Moultrycam",2015-12-01,2016-02-29,2016-01-23,2016-03-01,90,54," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-01-23 0.08",2015-12-01
"507H","Yalbac507H",507,"H",658,"Ocelot",1,2016,1,28,23.4,3.5,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2016-01-28,2016-03-01,90,59,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-01-28 23.40",2015-12-01
"510H","Yalbac510H",510,"H",703,"Ocelot",1,2016,1,29,18.12,18,"","Moultrie",282719,1935522.766,"Yes","Moultrycam",2015-12-01,2016-02-29,2016-01-29,2016-03-01,90,60," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-01-29 18.12",2015-12-01
"507H","Yalbac507H",507,"H",736,"Ocelot",1,2016,2,4,17.55,18,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2016-02-04,2016-03-01,90,66,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-02-04 17.55",2015-12-01
"507H","Yalbac507H",507,"H",739,"Ocelot",1,2016,2,5,23.29,23.5,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2016-02-05,2016-03-01,90,67,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-02-05 23.29",2015-12-01
"509H","Yalbac509H",509,"H",2198,"Ocelot",1,2016,2,7,2.15,2.5,"","Bushnell",283730,1935382.07,"Yes","Bushnell",2015-12-01,2016-02-29,2016-02-07,2016-03-01,90,69," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-02-07 2.15",2015-12-01
"511H","Yalbac511H",511,"H",490,"Ocelot",1,2016,2,11,22.36,22.5,"","Moultrie",282087,1935456.716,"Yes","Moultrycam",2015-12-01,2016-02-29,2016-02-11,2016-03-01,90,73," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-02-11 22.36",2015-12-01
"507H","Yalbac507H",507,"H",922,"Ocelot",1,2016,2,19,3.07,3,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2016-02-19,2016-03-01,90,81,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-02-19 3.07",2015-12-01
"509H","Yalbac509H",509,"H",2483,"Ocelot",1,2016,2,20,3.44,3.5,"","Bushnell",283730,1935382.07,"Yes","Bushnell",2015-12-01,2016-02-29,2016-02-20,2016-03-01,90,82," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2016-02-20 3.44",2015-12-01
"508C","Yalbac508C",508,"C",4,"Ocelot",1,2015,4,11,0.3,0.5,"","Scoutguard",280364,1934433,"Yes","Scoutguard",2015-04-10,2015-05-30,2015-04-11,2015-04-19,8,2,"Took mostly movies!","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-04-11 0.30",2015-04-10
"509C","Yalbac509c",509,"C",4,"Ocelot",1,2015,4,11,0.3,0.5,"","ScoutGuard",280114,1935198,"Yes","Bushnell",2015-04-10,2015-05-30,2015-04-11,2015-05-30,49,2," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-04-11 0.30",2015-04-10
"512C","Yalbac512c",512,"C",498,"Ocelot",1,2015,4,11,3.58,4,"","Scoutguard",281740,1935290,"Yes","Scoutguard",2015-04-10,2015-05-30,2015-04-11,2015-04-19,8,2,"Tons of pictures, too hot?","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-04-11 3.58",2015-04-10
"512C","Yalbac512c",512,"C",498,"Ocelot",1,2015,4,11,3.58,4,"","ScoutGuard",281740,1935290,"Yes","Scoutguard",2015-04-10,2015-05-30,2015-04-11,2015-04-19,8,2,"Tons of pictures, too hot?","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-04-11 3.58",2015-04-10
"512C","Yalbac512c",512,"C",499,"Ocelot",1,2015,4,11,4.04,4,"","Scoutguard",281740,1935290,"Yes","Scoutguard",2015-04-10,2015-05-30,2015-04-11,2015-04-19,8,2,"Tons of pictures, too hot?","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-04-11 4.04",2015-04-10
"512C","Yalbac512c",512,"C",499,"Ocelot",1,2015,4,11,4.04,4,"","ScoutGuard",281740,1935290,"Yes","Scoutguard",2015-04-10,2015-05-30,2015-04-11,2015-04-19,8,2,"Tons of pictures, too hot?","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-04-11 4.04",2015-04-10
"507C","Yalbac507c",507,"C",76,"Ocelot",1,2015,4,17,3.04,3,"","Bushnell",283656,1935412,"Yes","Bushnell",2015-04-10,2015-05-30,2015-04-17,2015-05-30,49,8," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-04-17 3.04",2015-04-10
"501C","Yalbac501c",501,"C",152,"Ocelot",1,2015,4,27,2.39,2.5,"","Bushnell",292447,1954693,"Yes","Bushnell",2015-04-10,2015-05-30,2015-04-27,2015-05-30,49,18," ","No","Yes",NA,"No","No","Along narrow seismic line","Mature forest","2015-04-27 2.39",2015-04-10
"509C","Yalbac509c",509,"C",79,"Ocelot",1,2015,5,5,3.41,3.5,"","Bushnell",280114,1935198,"Yes","Bushnell",2015-04-10,2015-05-30,2015-05-05,2015-05-30,49,26," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-05-05 3.41",2015-04-10
"507C","Yalbac507c",507,"C",316,"Ocelot",1,2015,5,15,0.35,0.5,"","Bushnell",283656,1935412,"Yes","Bushnell",2015-04-10,2015-05-30,2015-05-15,2015-05-30,49,36," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-05-15 0.35",2015-04-10
"501C","Yalbac501c",501,"C",335,"Ocelot",1,2015,5,16,0.46,1,"","Bushnell",292447,1954693,"Yes","Bushnell",2015-04-10,2015-05-30,2015-05-16,2015-05-30,49,37," ","No","Yes",NA,"No","No","Along narrow seismic line","Mature forest","2015-05-16 0.46",2015-04-10
"507C","Yalbac507c",507,"C",337,"Ocelot",1,2015,5,20,0.58,1,"","Bushnell",283656,1935412,"Yes","Bushnell",2015-04-10,2015-05-30,2015-05-20,2015-05-30,49,41," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-05-20 0.58",2015-04-10
"502D","Yalbac502D",502,"D",3296,"Ocelot",1,2015,6,4,2.5,3,"","Moultrie",291686,1955608,"Yes","Moultrycam",2015-05-30,2015-06-29,2015-06-04,2015-08-06,67,6," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-04 2.50",2015-05-30
"508D","Yalbac508D",508,"D",21,"Ocelot",1,2015,6,5,19.53,20,"","Scoutguard",280218,1935038,"Yes","Scoutguard",2015-05-30,2015-06-29,2015-06-05,2015-06-06,6,7,"Took movies","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-06-05 19.53",2015-05-30
"506D","Yalbac506D",506,"D",37,"Ocelot",1,2015,6,6,23.14,23,"","Bushnell",291532,1956956,"Yes","Bushnell",2015-05-30,2015-06-29,2015-06-06,2015-08-06,67,8," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-06-06 23.14",2015-05-30
"503D","Yalbac503D",503,"D",142,"Ocelot",1,2015,6,7,22.49,23,"","Bushnell",292559,1958254,"Yes","Bushnell",2015-05-30,2015-06-29,2015-06-07,2015-08-06,67,9," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-07 22.49",2015-05-30
"501D","Yalbac501D",501,"D",70,"Ocelot",1,2015,6,10,4.06,4,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-06-10,2015-08-06,67,12," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-10 4.06",2015-05-30
"501D","Yalbac501D",501,"D",82,"Ocelot",1,2015,6,13,3.39,3.5,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-06-13,2015-08-06,67,15," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-13 3.39",2015-05-30
"501D","Yalbac501D",501,"D",85,"Ocelot",1,2015,6,14,1.44,1.5,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-06-14,2015-08-06,67,16," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-14 1.44",2015-05-30
"511D","Yalbac511D",511,"D",157,"Ocelot",1,2015,6,16,20.31,20.5,"","Moultrie",283157,1935085,"Yes","Moultrycam",2015-05-30,2015-06-29,2015-06-16,2015-06-28,28,18," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-06-16 20.31",2015-05-30
"501D","Yalbac501D",501,"D",112,"Ocelot",1,2015,7,1,3.44,3.5,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-07-01,2015-08-06,67,33," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-07-01 3.44",2015-05-30
"501D","Yalbac501D",501,"D",115,"Ocelot",1,2015,7,3,4.19,4.5,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-07-03,2015-08-06,67,35," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-07-03 4.19",2015-05-30
"501D","Yalbac501D",501,"D",124,"Ocelot",1,2015,7,4,22.19,22.5,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-07-04,2015-08-06,67,36," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-07-04 22.19",2015-05-30
"503D","Yalbac503D",503,"D",547,"Ocelot",1,2015,7,4,22.36,22.5,"","Bushnell",292559,1958254,"Yes","Bushnell",2015-05-30,2015-06-29,2015-07-04,2015-08-06,67,36," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-07-04 22.36",2015-05-30
"510D","Yalbac510D",510,"D",145,"Ocelot",1,2015,7,13,9.42,9.5,"","Moultrie",282702,1935595,"Yes","Moultrycam",2015-05-30,2015-06-29,2015-07-13,2015-08-06,67,45," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-07-13 9.42",2015-05-30
"501D","Yalbac501D",501,"D",130,"Ocelot",1,2015,7,14,2.25,2.5,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-07-14,2015-08-06,67,46," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-07-14 2.25",2015-05-30
"510D","Yalbac510D",510,"D",154,"Ocelot",1,2015,7,15,20.51,21,"","Moultrie",282702,1935595,"Yes","Moultrycam",2015-05-30,2015-06-29,2015-07-15,2015-08-06,67,47," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-07-15 20.51",2015-05-30
"506D","Yalbac506D",506,"D",211,"Ocelot",1,2015,7,16,21.07,21,"","Bushnell",291532,1956956,"Yes","Bushnell",2015-05-30,2015-06-29,2015-07-16,2015-08-06,67,48," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-07-16 21.07",2015-05-30
"510D","Yalbac510D",510,"D",205,"Ocelot",1,2015,7,21,21.35,21.5,"","Moultrie",282702,1935595,"Yes","Moultrycam",2015-05-30,2015-06-29,2015-07-21,2015-08-06,67,53," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-07-21 21.35",2015-05-30
"507D","Yalbac507D",507,"D",100,"Ocelot",1,2015,7,23,22.58,23,"","Bushnell",283856,1935164,"Yes","Bushnell",2015-05-30,2015-06-29,2015-07-23,2015-08-06,67,55," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-07-23 22.58",2015-05-30
"501D","Yalbac501D",501,"D",157,"Ocelot",1,2015,7,25,1.41,1.5,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-07-25,2015-08-06,67,57," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-07-25 1.41",2015-05-30
"503D","Yalbac503D",503,"D",964,"Ocelot",1,2015,7,25,2,2,"","Bushnell",292559,1958254,"Yes","Bushnell",2015-05-30,2015-06-29,2015-07-25,2015-08-06,67,57," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-07-25 2.00",2015-05-30
"510D","Yalbac510D",510,"D",220,"Ocelot",1,2015,7,26,3.55,4,"","Moultrie",282702,1935595,"Yes","Moultrycam",2015-05-30,2015-06-29,2015-07-26,2015-08-06,67,58," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-07-26 3.55",2015-05-30
"510D","Yalbac510D",510,"D",226,"Ocelot",1,2015,7,29,4.07,4,"","Moultrie",282702,1935595,"Yes","Moultrycam",2015-05-30,2015-06-29,2015-07-29,2015-08-06,67,61," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-07-29 4.07",2015-05-30
"506E","Yalbac506E",506,"E",29,"Ocelot",1,2015,7,30,16.21,16.5,"","Bushnell",292491,1955895,"Yes","Bushnell",2015-06-29,2015-09-15,2015-07-30,2015-09-16,78,32," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-07-30 16.21",2015-06-29
"508E","Yalbac508E",508,"E",20,"Ocelot",1,2015,7,30,2.46,3,"","Scoutguard",283447,1934597,"Yes","Scoutguard",2015-07-29,2015-09-15,2015-07-30,2015-08-07,8,2," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-07-30 2.46",2015-07-29
"510E","Yalbac510E",510,"E",19,"Ocelot",1,2015,7,30,8.37,8.5,"","Moultrie",281670,1934730,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-07-30,2015-09-16,78,32," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-07-30 8.37",2015-06-29
"512E","Yalbac512E",512,"E",50,"Ocelot",1,2015,7,30,15.07,15,"","ScoutGuard",282178,1935684,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-07-30,2015-09-16,78,32," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-07-30 15.07",2015-06-29
"507E","Yalbac507E",507,"E",63,"Ocelot",1,2015,8,2,20.28,20.5,"","Bushnell",283482,1934992,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-02,2015-09-16,78,35," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-02 20.28",2015-06-29
"506E","Yalbac506E",506,"E",50,"Ocelot",1,2015,8,3,20.54,21,"","Bushnell",292491,1955895,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-03,2015-09-16,78,36," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-03 20.54",2015-06-29
"501E","Yalbac501e",501,"E",34,"Ocelot",1,2015,8,5,8.18,8.5,"","Bushnell",291363,1956977,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-05,2015-09-16,78,38," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-05 8.18",2015-06-29
"510E","Yalbac510E",510,"E",47,"Ocelot",1,2015,8,7,22.12,22,"","Moultrie",281670,1934730,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-08-07,2015-09-16,78,40," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-07 22.12",2015-06-29
"509E","Yalbac509E",509,"E",73,"Ocelot",1,2015,8,9,21.33,21.5,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-09,2015-09-16,78,42," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-09 21.33",2015-06-29
"509E","Yalbac509E",509,"E",75,"Ocelot",1,2015,8,9,21.33,21.5,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-09,2015-09-16,78,42," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-09 21.33",2015-06-29
"510E","Yalbac510E",510,"E",52,"Ocelot",1,2015,8,9,22.12,22,"","Moultrie",281670,1934730,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-08-09,2015-09-16,78,42," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-09 22.12",2015-06-29
"507E","Yalbac507E",507,"E",166,"Ocelot",1,2015,8,10,21.5,22,"","Bushnell",283482,1934992,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-10,2015-09-16,78,43," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-10 21.50",2015-06-29
"504E","Yalbac504E",504,"E",324,"Ocelot",1,2015,8,13,10.28,10.5,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-08-13,2015-09-16,78,46," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-13 10.28",2015-06-29
"509E","Yalbac509E",509,"E",109,"Ocelot",1,2015,8,16,23.57,24,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-16,2015-09-16,78,49," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-16 23.57",2015-06-29
"509E","Yalbac509E",509,"E",111,"Ocelot",1,2015,8,16,23.57,24,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-16,2015-09-16,78,49," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-16 23.57",2015-06-29
"510E","Yalbac510E",510,"E",88,"Ocelot",1,2015,8,16,23.26,23.5,"","Moultrie",281670,1934730,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-08-16,2015-09-16,78,49," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-16 23.26",2015-06-29
"506E","Yalbac506E",506,"E",131,"Ocelot",1,2015,8,17,21.44,21.5,"","Bushnell",292491,1955895,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-17,2015-09-16,78,50," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-17 21.44",2015-06-29
"503E","Yalbac503E",503,"E",277,"Ocelot",1,2015,8,18,0.57,1,"","Bushnell",291322,1957347,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-18,2015-09-16,78,51," ","No","Yes",NA,"No","No","At Pond","Mature forest","2015-08-18 0.57",2015-06-29
"503E","Yalbac503E",503,"E",279,"Ocelot",1,2015,8,18,0.57,1,"","Bushnell",291322,1957347,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-18,2015-09-16,78,51," ","No","Yes",NA,"No","No","At Pond","Mature forest","2015-08-18 0.57",2015-06-29
"509E","Yalbac509E",509,"E",115,"Ocelot",1,2015,8,19,19.23,19.5,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-19,2015-09-16,78,52," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-19 19.23",2015-06-29
"509E","Yalbac509E",509,"E",117,"Ocelot",1,2015,8,19,19.23,19.5,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-19,2015-09-16,78,52," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-19 19.23",2015-06-29
"510E","Yalbac510E",510,"E",97,"Ocelot",1,2015,8,19,21.28,21.5,"","Moultrie",281670,1934730,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-08-19,2015-09-16,78,52," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-19 21.28",2015-06-29
"507E","Yalbac507E",507,"E",312,"Ocelot",1,2015,8,20,19.54,18,"","Bushnell",283482,1934992,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-20,2015-09-16,78,53," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-20 19.54",2015-06-29
"509E","Yalbac509E",509,"E",127,"Ocelot",1,2015,8,26,21.39,21.5,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-26,2015-09-16,78,59," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-26 21.39",2015-06-29
"509E","Yalbac509E",509,"E",128,"Ocelot",1,2015,8,26,21.39,21.5,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-26,2015-09-16,78,59," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-26 21.39",2015-06-29
"510E","Yalbac510E",510,"E",127,"Ocelot",1,2015,8,26,21.05,21,"","Moultrie",281670,1934730,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-08-26,2015-09-16,78,59," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-26 21.05",2015-06-29
"509E","Yalbac509E",509,"E",156,"Ocelot",1,2015,9,4,2.06,2,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-09-04,2015-09-16,78,68," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-04 2.06",2015-06-29
"509E","Yalbac509E",509,"E",156,"Ocelot",1,2015,9,4,2.06,2,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-09-04,2015-09-16,78,68," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-04 2.06",2015-06-29
"512E","Yalbac512E",512,"E",2308,"Ocelot",1,2015,9,5,1.31,1.5,"male","ScoutGuard",282178,1935684,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-09-05,2015-09-16,78,69," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-05 1.31",2015-06-29
"502E","Yalbac502E",502,"E",3537,"Ocelot",1,2015,9,6,1.25,1.5,"","Moultrie",290847,1955799,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-09-06,2015-09-16,78,70," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-06 1.25",2015-06-29
"504E","Yalbac504E",504,"E",764,"Ocelot",1,2015,9,10,22.03,22,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-09-10,2015-09-16,78,74," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-10 22.03",2015-06-29
"509E","Yalbac509E",509,"E",202,"Ocelot",1,2015,9,10,2.09,2,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-09-10,2015-09-16,78,74," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-10 2.09",2015-06-29
"509E","Yalbac509E",509,"E",204,"Ocelot",1,2015,9,10,2.09,2,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-09-10,2015-09-16,78,74," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-10 2.09",2015-06-29
"504E","Yalbac504E",504,"E",877,"Ocelot",1,2015,9,14,2.07,2,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-09-14,2015-09-16,78,78," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-14 2.07",2015-06-29
"510FG","Yalbac510FG",510,"FG",40,"Ocelot",1,2015,9,21,18.36,18.5,"","Moultrie",281361,1934328,"Yes","Moultrycam",2015-09-15,2015-12-01,2015-09-21,2015-12-02,77,7," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-09-21 18.36",2015-09-15
"509F","Yalbac509F",509,"F",63,"Ocelot",1,2015,10,7,4.02,4,"","Bushnell",283280,1934662,"Yes","Bushnell",2015-09-15,2015-11-09,2015-10-07,2015-11-10,55,23," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-10-07 4.02",2015-09-15
"509F","Yalbac509F",509,"F",75,"Ocelot",1,2015,10,16,22.11,22,"","Bushnell",283280,1934662,"Yes","Bushnell",2015-09-15,2015-11-09,2015-10-16,2015-11-10,55,32," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-10-16 22.11",2015-09-15
"505F","Yalbac505F",505,"F",94,"Ocelot",1,2015,10,28,12.13,12,"","Moultrie",290310,1956304,"Yes","Moultrycam",2015-09-15,2015-11-09,2015-10-28,2015-11-10,55,44," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-10-28 12.13",2015-09-15
"505F","Yalbac505F",505,"F",100,"Ocelot",1,2015,10,30,7.3,7.5,"","Moultrie",290310,1956304,"Yes","Moultrycam",2015-09-15,2015-11-09,2015-10-30,2015-11-10,55,46," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-10-30 7.30",2015-09-15
"505G","Yalbac505G",505,"G",13,"Ocelot",1,2015,11,10,20.36,20.5,"","Moultrie",291021,1956145,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-11-10,2016-01-10,61,2," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-10 20.36",2015-11-09
"502G","Yalbac502G",502,"G",3665,"Ocelot",1,2015,11,11,2.11,2,"","Moultrie",289511,1956735,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-11-11,2016-01-01,52,3," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-11 2.11",2015-11-09
"507G","Yalbac507G",507,"G",28,"Ocelot",1,2015,11,18,23.1,23,"","Bushnell",282985,1935446,"Yes","Bushnell",2015-11-09,2015-12-01,2015-11-18,2015-12-02,22,10," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-11-18 23.10",2015-11-09
"502G","Yalbac502G",502,"G",3668,"Ocelot",1,2015,11,19,2.35,2.5,"","Moultrie",289511,1956735,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-11-19,2016-01-01,52,11," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-19 2.35",2015-11-09
"502G","Yalbac502G",502,"G",3671,"Ocelot",1,2015,11,21,2.42,2.5,"","Moultrie",289511,1956735,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-11-21,2016-01-01,52,13," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-21 2.42",2015-11-09
"506G","Yalbac506G",506,"G",211,"Ocelot",1,2015,11,22,12.24,12.5,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-11-22,2016-01-10,61,14," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-11-22 12.24",2015-11-09
"506G","Yalbac506G",506,"G",214,"Ocelot",1,2015,11,22,18.26,18.5,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-11-22,2016-01-10,61,14," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-11-22 18.26",2015-11-09
"502G","Yalbac502G",502,"G",3746,"Ocelot",1,2015,11,29,19.25,19.5,"","Moultrie",289511,1956735,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-11-29,2016-01-01,52,21," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-29 19.25",2015-11-09
