"site","Location","Cam.nr","Series","Picture","Species","Nr","Year","Month","Day","Hour_exact","Hour_BERDS","Comment","Camera.Brand","Easting.1","Northing.1","Mammal","Brand","Date_Place","Date_Remov","obsdate","Last.Record","Days","visit","Notes","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","date_time_obs","First_Obs"
"502D","Yalbac502D",502,"D",3314,"Agouti",1,2015,6,15,7.04,7,"","Moultrie",291686,1955608,"Yes","Moultrycam",2015-05-30,2015-06-29,2015-06-15,2015-08-06,67,17," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-15 7.04",2015-05-30
"501D","Yalbac501D",501,"D",91,"Agouti",1,2015,6,18,12.43,12.5,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-06-18,2015-08-06,67,20," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-18 12.43",2015-05-30
"501D","Yalbac501D",501,"D",94,"Agouti",1,2015,6,20,6.07,6,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-06-20,2015-08-06,67,22," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-20 6.07",2015-05-30
"502D","Yalbac502D",502,"D",3329,"Agouti",1,2015,6,20,5.55,6,"","Moultrie",291686,1955608,"Yes","Moultrycam",2015-05-30,2015-06-29,2015-06-20,2015-08-06,67,22," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-20 5.55",2015-05-30
"501D","Yalbac501D",501,"D",97,"Agouti",1,2015,6,21,7.23,7.5,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-06-21,2015-08-06,67,23," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-21 7.23",2015-05-30
"502D","Yalbac502D",502,"D",3332,"Agouti",1,2015,6,22,6.07,6,"","Moultrie",291686,1955608,"Yes","Moultrycam",2015-05-30,2015-06-29,2015-06-22,2015-08-06,67,24," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-22 6.07",2015-05-30
"505D","Yalbac505D",505,"D",67,"Agouti",1,2015,6,23,7,7,"","Moultrie",290391,1956661,"Yes","Moultrycam",2015-05-30,2015-06-29,2015-06-23,2015-06-24,24,25,"Took only 22 useful pictures","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-06-23 7.00",2015-05-30
"504D","Yalbac504D",504,"D",67,"Agouti",1,2015,6,25,8.1,8,"","Scoutguard",291590,1956114,"Yes","Scoutguard",2015-05-30,2015-06-29,2015-06-25,2015-08-06,67,27," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-25 8.10",2015-05-30
"503D","Yalbac503D",503,"D",454,"Agouti",1,2015,6,26,9.18,9.5,"","Bushnell",292559,1958254,"Yes","Bushnell",2015-05-30,2015-06-29,2015-06-26,2015-08-06,67,28," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-26 9.18",2015-05-30
"502D","Yalbac502D",502,"D",3353,"Agouti",1,2015,6,28,6.26,6.5,"","Moultrie",291686,1955608,"Yes","Moultrycam",2015-05-30,2015-06-29,2015-06-28,2015-08-06,67,30," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-28 6.26",2015-05-30
