"site","Date_Place.x","Days.x","Last.Record","Northing.1","Easting.1","Brand","Date_Place.y","Time","Date_Remov","Days.y","Easting","Northing","Lat","Lat.1","Notes","Compartmen","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape"
"512H",2015-12-01,4,2015-12-06,1934690.881,283335,"Moultrycam","December 1, 2015",NA,"February 29, 2016",4,283335,1934691,17.4897472415,-89.0404620157," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"508H",2015-12-01,17,2015-12-19,NA,NA,"Scoutguard","December 1, 2015",NA,"February 29, 2016",17,288991,1929840,17.4464661839,-88.9867423494," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"509F",2015-09-15,55,2015-11-10,1934662,283280,"Bushnell","September 15, 2015",NA,"November 9, 2015",55,283280,1934662,17.4894852408,-89.0409770218," ",NA,"No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest"
"511D",2015-05-30,28,2015-06-28,1935085,283157,"Moultrycam","May 30, 2015",NA,"June 29, 2015",28,283157,1935085,17.4932942473,-89.042178038," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"505E",2015-06-29,78,2015-09-16,1956892,290522,"Moultrycam","June 29, 2015",NA,"September 15, 2015",78,290522,1956892,17.6909906316,-88.9749813125," ",NA,"No","Yes",NA,"No","No","Along narrow logging trail","Mature forest"
"505C",2015-04-10,3,2015-04-14,1956401,289335,"Moultrycam","April 10, 2015",NA,"May 30, 2015",3,289335,1956401,17.6864430016,-88.986117," ",NA,"No","Yes",NA,"No","No","Along wide logging road","Mature forest"
"508E",2015-07-29,8,2015-08-07,1934597,283447,"Scoutguard","June 29, 2015",NA,"September 15, 2015",8,283447,1934597,17.4889132405,-89.0393920024," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"510C",2015-04-10,38,2015-05-19,1935493,282382,"Moultrycam","April 10, 2015",NA,"May 30, 2015",38,282382,1935493,17.4969050016,-89.049508," ",NA,"No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest"
"502C",2015-04-10,1,2015-04-12,NA,NA,"Moultrycam","April 10, 2015",NA,"May 30, 2015",1,292758,1955010,17.6741970016,-88.953728,"Took 3000 pictures in 1 day",NA,"No","Yes",NA,"No","No","Along narrow seismic line","Mature forest"
"503C",2015-04-10,17,2015-04-28,NA,NA,"Scoutguard","April 10, 2015",NA,"May 30, 2015",17,291102,1950731,17.6353890016,-88.9689079999,"Only took pictures for three weeks",NA,"Yes","No","No","No","No","Edge of stream","Mature Forest"
"506C",2015-04-10,16,2015-04-27,NA,NA,"Bushnell","April 10, 2015",NA,"May 30, 2015",16,291308,1950725,17.6353550015,-88.966967,"In stream, people only",NA,"Yes","No","No","No","No","Edge of stream","Mature Forest"
"511C",2015-04-10,2,2015-04-13,NA,NA,"Moultrycam","April 10, 2015",NA,"May 30, 2015",2,282077,1935175,17.4939950016,-89.05235,"Moving branch, 3300 pictures of nothing",NA,"No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest"
"506F",2015-09-15,55,2015-11-10,NA,NA,"Bushnell","September 15, 2015",NA,"November 9, 2015",55,293760,1956528,17.6880056382,-88.9444269405," ",NA,"No","Yes",NA,"No","No","Along wide logging road","Mature forest"
