"picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","Location.1","Mammal","site","Brand","Date.Placement","Date.Removed","Days","Northing","Easting","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","Location.y","Last.Record","obsdate","visit","date_time_obs"
7,"Agouti",1,2016,7,6,"6.43","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-06,2,"2016-07-06 6.43"
16,"Agouti",1,2016,7,8,"5.05","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-08,4,"2016-07-08 5.05"
28,"Agouti",1,2016,7,16,"6.32","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-16,12,"2016-07-16 6.32"
37,"Agouti",1,2016,7,21,"9.27","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-21,17,"2016-07-21 9.27"
61,"Agouti",1,2016,7,25,"7.01","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-25,21,"2016-07-25 7.01"
113,"Agouti",1,2016,7,29,"5.01","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-29,25,"2016-07-29 5.01"
64,"Collared Peccary",3,2016,7,25,"7.36","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-25,21,"2016-07-25 7.36"
31,"Crested Guan",1,2016,7,16,"10.58","","Laguna Seca","No","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-16,12,"2016-07-16 10.58"
40,"Gray Fox",1,2016,7,21,"21.13","","Laguna Seca","Yes","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-21,17,"2016-07-21 21.13"
49,"Great Curassow",1,2016,7,23,"14.11","","Laguna Seca","No","601J","Bushnell",2016-07-05,2016-09-08,61,1955892.942,292495.3321,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-09-05,2016-07-23,19,"2016-07-23 14.11"
