,site,Brand,Conservation,Logging,Hurricane,Fire,Location,Landscape,Lat,Long,Season,mean_bioma,Forest_Los,FL,mean_NDVI,sd_NDVI,Canopy_Height_m,LatLong,NEAR_DIST_ROAD,NEAR_DIST_STRM,Nat_Dist
52,404B,Scoutguard,Yes,No,Yes,Yes,Logging Road,Secondary Forest,17.43535512,-88.82823294,Dry,NA,5.3,Loss,0.923164904,0.002420784,10.4872,-1548.751786,0.0016902,0.014170496,Yes
53,409C2,Moultry,No,No,Yes,No,Narrow survey trail,"Broadleaf forest, broken canopy",17.492107,-89.041685,Rainy,81.3965,1.4,Loss,0.924123779,0.005746877,23.5474,-1557.526682,1.59E-05,0.006602026,Yes
54,410A,Moultry,No,No,Yes,No,Stock Transect,"Broadleaf forest, broken canopy",17.48350721,-89.0479375,Dry,83.1761,0,No Loss,0.921491353,0.004381756,20.1407,-1556.870257,0.002985016,0.011279386,Yes
55,406B,Bushnell,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.48507556,-89.03830425,Dry,87.776,0,No Loss,0.926829659,0.006362728,19.3666,-1556.841477,0.000232279,0.006545494,Yes
56,403B,Bushnell,Yes,No,Yes,Yes,Valley,"Broadleaf forest, broken canopy",17.41430722,-88.96534676,Dry,67.3292,0.5,Loss,0.918586625,0.00305318,16.9887,-1549.269881,0.001703533,0.006987503,Yes
57,413C,Bushnell,Yes,No,Yes,Yes,Logging Road,Secondary Forest,17.4274302,-88.85605777,Rainy,70.1826,5,Loss,0.917373164,0.002224556,8.978,-1548.532744,0.000472752,0.003086276,Yes
58,407A,Bushnell,No,No,Yes,No,Stock Transect,"Broadleaf forest, broken canopy",17.4836072,-89.04509651,Dry,87.59,0,No Loss,0.925185461,0.00493083,21.4805,-1556.829491,0.004430248,0.009128706,Yes
59,403C2,Bushnell,Yes,No,Yes,Yes,Valley,"Broadleaf forest, broken canopy",17.414694,-88.9678,Rainy,63.7718,3,Loss,0.914971742,0.004544519,11.0102,-1549.347013,0.000102205,0.004818418,Yes
60,413E,Scoutguard,Yes,No,Yes,Yes,Seismic line,Secondary Forest,17.436875,-88.829212,Dry,NA,3.7,Loss,0.919831531,0.003914205,14.9452,-1548.903866,2.74E-06,0.013290444,Yes
61,409F,Moultry,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.506591,-88.974401,Dry,48.2394,0,No Loss,0.939636925,0.006425453,19.0143,-1557.638448,7.28E-07,0.009859229,Yes
62,404C2,Scoutguard,Yes,No,Yes,Yes,Excavated Maya site,Secondary Forest,17.426351,-88.838253,Rainy,97.1703,1.3,Loss,0.919156247,0.002843303,16.3893,-1548.126579,0.003608368,0.004011208,Yes
63,408D,Scoutguard,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.447098,-88.960261,Rainy,59.2374,0,No Loss,0.920523153,0.003708355,19.6724,-1552.098392,1.49E-05,0.011561731,Yes
64,406D,Bushnell,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.449859,-88.957326,Rainy,51.4989,0,No Loss,0.917270349,0.0040178,24.5649,-1552.292796,4.00E-06,0.007711273,Yes
65,406E,Bushnell,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.495956,-89.006717,Dry,76.7212,0,No Loss,0.924564029,0.005189701,18.7655,-1557.257604,6.89E-06,0.009249968,Yes
66,412E,Scoutguard,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.47459,-89.03983,Dry,112.195,0,No Loss,0.925537903,0.004442517,21.1558,-1555.934523,1.74E-05,0.002921052,Yes
67,407B,Bushnell,No,No,Yes,No,Stock Transect,"Broadleaf forest, broken canopy",17.4843206,-89.04961248,Dry,80.7498,0,No Loss,0.926281287,0.003236163,18.2049,-1556.971974,0.00204595,0.013126073,Yes
