site,Location,Cam.nr,series,picture,Species,Nr,Year,Month,Day,Hour,Comment,camera.brand,Location.1,Logging,Date.Placement,Date.Removed,obsdate,Days,Northing,Easting,Conservati,Active_Log,Logged_in,Hurricane,Fire_Damag,Location_d,Landscape,Area,Last_Record_clean,First_Obs,Last.Record_clean,date_time_obs
701B,Yalbac 701B,701,B,4498,Ocelot,1,2017,5,24,5.03,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,5/24/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-05-24 5.03
701B,Yalbac 701B,701,B,4705,Ocelot,1,2017,6,7,4.52,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,6/7/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-06-07 4.52
701B,Yalbac 701B,701,B,4471,Red Brocket Deer,1,2017,5,16,5.49,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,5/16/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-05-16 5.49
701B,Yalbac 701B,701,B,4486,Red Brocket Deer,1,2017,5,18,20.44,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,5/18/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-05-18 20.44
701B,Yalbac 701B,701,B,4489,Red Brocket Deer,1,2017,5,23,4.56,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,5/23/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-05-23 4.56
701B,Yalbac 701B,701,B,4507,Red Brocket Deer,1,2017,5,24,22.41,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,5/24/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-05-24 22.41
701B,Yalbac 701B,701,B,4691,Unknown,1,2017,6,5,5.15,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,6/5/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-06-05 5.15
701B,Yalbac 701B,701,B,4477,White-tailed Deer,1,2017,5,17,23.59,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,5/17/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-05-17 23.59
701B,Yalbac 701B,701,B,4483,White-tailed Deer,1,2017,5,18,5.13,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,5/18/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-05-18 5.13
701B,Yalbac 701B,701,B,4492,White-tailed Deer,1,2017,5,23,10.57,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,5/23/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-05-23 10.57
701B,Yalbac 701B,701,B,4537,White-tailed Deer,1,2017,5,30,20.06,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,5/30/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-05-30 20.06
701B,Yalbac 701B,701,B,4642,White-tailed Deer,1,2017,6,1,14.51,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,6/1/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-06-01 14.51
701B,Yalbac 701B,701,B,4661,White-tailed Deer,1,2017,6,1,19.2,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,6/1/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-06-01 19.20
701B,Yalbac 701B,701,B,4696,White-tailed Deer,1,2017,6,5,13.19,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,6/5/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-06-05 13.19
701B,Yalbac 701B,701,B,4765,White-tailed Deer,1,2017,6,8,8.17,,Moultrie,Laguna Seca,No,5/15/2017,7/18/2017,6/8/2017,23,1954260,291445,,,NA,,,,,,6/8/2017,5/15/2017,6/8/2017,2017-06-08 8.17
